购买车型,购买地点,购买时间,购买裸车价（万元）,空间,动力,操控,能耗,舒适性,外观,内饰,性价比,购车目的1,购车目的2,购车目的3,购车目的4,汽车类型,最满意的一点,最不满意的一点
2017款 1.5T 尊贵型,天津,2018年8月,13.5,4,5,4,4,3,3,4,3,上下班,接送小孩,自驾游,,DM,动力强悍，配置高，同等配置合资最少需要多6-7万吧，内饰大屏，科技感高，前置物台材质软手感好,后排中间凸起太多，没有备胎，油箱太小，虽然是混动，如果经常跑长途还是会发现邮箱真的是太小了 总要加油
2017款 1.5T 尊贵型,哈尔滨,2018年5月,13.99,5,5,5,4,4,4,5,5,上下班,自驾游,赛车,,DM,因为是人生中的第一台车，所以当初在选车的时候第一想法是一定要选一个样子好看的，对于秦的外观来说，可以算是一个非常英俊的“帅哥”了，再就是动力性跟配置，动力方面搭载了一个1.5T的发动机，还有个110KW的电机，百公里加速5.9的速度，动力非常强劲，配置也够用，中控的大屏，巡航定速，天窗，右前轮盲区检测，性价比还是非常高的。,地盘有点底，要是路况较烂的话，开车一定要注意一下。
2017款 1.5T 尊贵型,眉山,2017年11月,14.29,4,5,5,4,5,5,4,5,上下班,接送小孩,自驾游,,DM,,
2017款 1.5T 尊贵型,眉山,2018年8月,14.29,4,5,5,4,5,4,5,5,上下班,接送小孩,,,DM,在纯电模式下跑是一个非常安静的环境，没有发动机介入的噪音。动力和性能方面是很不错的，起步稍微带点油门就有一阵推背感，在20万以内有这个东西是非常不容易的了，可以说是20万级别内的赛车了。而且电池组质保8年15万公里，电芯达到了终生质保，保证了广大群众的消费保障，让每个消费者放心消费。,比较不满意的就是灯光没有其他比亚迪系列的LED光源，后面的尾灯设计个人觉得不好看。其他方面倒是没有发现什么不满意的
2017款 1.5T 尊贵型,武汉,2017年12月,13.69,5,5,4,5,4,4,4,5,上下班,购物,接送小孩,自驾游,DM,加速快，纯电安静，做工相比老款有很大改善，中控大屏太好用。没开过好车，个人感觉馈电（低于25%）状态噪音也还好，会比有电时大些但也没有大到夸张，可能是因为加的95号油，看论坛上说加95或98确实会有改善。,为什么吧秦100的全景影像和后悬挂简配。其它公里数还少，暂时没什么不满意。
2017款 1.5T 尊贵型,营口,2017年11月,13.99,4,5,5,5,5,5,5,5,上下班,购物,接送小孩,拉货,DM,最满意的就是车子的外形了，完全可以用高端大气上档次来形容了。还有就是油耗，由于是混动的，所以车辆使用起来特别省钱。还有就是中控12.8英寸的大屏用起来特别舒服。并且这个车的名字和我的姓一样，也是一种缘分吧哈哈哈哈哈哈。,其实这车给我都挺满意的，就是根很多车友说的，没有备胎的问题，确实是一个大问题。所以跑一些烂路的时候还是有一点慌张的。还是就是感觉卤素灯有点不够用，亮度太低了。打算下次保养的时候去换个LED的灯！！
2017款 1.5T 尊贵型,杭州,2017年12月,13.69,4,5,5,4,4,5,4,5,上下班,购物,自驾游,,DM,以前开过纯电动汽车也开过纯油车，电动车的动力真不是盖的，说有就有的推背感。除了跑车级和特斯拉基本上没有车能比的上它的起步加速，不用担心被后车滴滴。而且比亚迪混动车的电芯是终生质保的，想想以后电池技术发展，等现在的电池不行了，花个万把块钱换个续航更长的电池也未尝不可。,
2017款 1.5T 尊贵型,芜湖,2018年4月,13.4,5,5,5,5,3,3,5,5,上下班,自驾游,跑长途,赛车,DM,外观前脸造型，这个造型不输合资车，而且回头率比较高，动力，这个动力可以说在30万以内，几乎无敌手，后排空间，一开始我感觉这个后排空间比较局促，可是我在后排坐过几次后，感觉还不错。够用了，油耗，这个市区跑几乎就是0，我平时足够用了，这个车带移动电站和遥控驾驶功能，还有云服务，这都是之前17款没有的，可以说加量不加价！座椅颜色我比较喜欢，是年轻人的范，这个车最最最的点睛之笔，也是我购买他的最终动力，就是那个篆体字“秦”，这个中国文化彻底把我融化了。,
2017款 1.5T 尊贵型,深圳,2017年9月,14.8,5,5,5,5,5,4,5,5,上下班,购物,自驾游,跑长途,DM,,
2017款 1.5T 尊贵型,深圳,2017年9月,13.99,4,5,4,4,4,3,4,4,上下班,自驾游,跑长途,泡妞,DM,大屏幕，电子手刹，动力，右前影像和倒车影像，免费粤B牌,
2017款 1.5T 尊贵型,济南,2018年1月,13.99,4,5,4,5,5,4,5,5,上下班,,,,DM,多元化的驾驶乐趣——电驱的安静惬意，混动的暴力加速。超低的日常消耗，以及各种黑科技的配置应用。,车尾的奇异造型设计，想改装都无从下手??。车体宽度不够，影响乘坐舒适度和外观。整体外观缺乏运动感。
2017款 1.5T 尊贵型,广州,2017年11月,13.99,5,5,5,5,5,4,5,5,上下班,购物,自驾游,跑长途,DM,最满意的当然是动力和内饰啦！其次配置和油耗也是相当满意的，后面会详细说明的,最不满意的要数着一尘不变的外观了，当时要不是内饰吸引的我，我也不会注意秦。还有就是相比老款简配了全液晶仪表，电动座椅，备胎等。
2017款 1.5T 尊贵型,成都,2017年12月,13.49,5,5,5,5,5,4,4,5,上下班,购物,自驾游,跑长途,DM,最满意的是低油耗，1.5T的排量外加1.7T的车重，我从提车开始加了646的油（3次），现在跑了1173KM，还剩下383LM续航，期间冲了一次满店，算下来1公里4毛1多点。坐着也很舒适，1.7T的车重加持，很稳当。,新车开空调有股味道，不知道是不是新车的通病，过一段时间再来追评。还有SOC值低于15用发动机反充电确实噪音挺大，所以建议不要把电用完！
2017款 1.5T 尊贵型,深圳,2017年10月,13.99,4,5,5,5,4,4,3,5,上下班,,,,DM,最满意的是油电混合带来的低油耗，经济环保，其次是高科技配置，中控大屏很好用，右前方摄像头很实用，减少了盲区，纯电安静，性价比高,底盘太低，轮毂太少，轮胎佳通的胎噪大还很容易卡石子，厂家送的膜和脚垫太小太差，买了车都要买全包围脚垫，行车记录仪减配，买了车都要加装差评
2017款 1.5T 尊贵型,茂名,2017年9月,13.99,5,5,5,5,5,5,5,5,自驾游,跑长途,,,DM,,
2017款 1.5T 尊贵型,深圳,2017年9月,13.99,4,5,5,4,4,3,5,5,上下班,购物,自驾游,,DM,一款比较综合的车，第一就是动力足，永远不会红绿灯被滴滴！第二就是双模省油，主打短途用电，长途用油，考虑到多种路况，还对应多重功能，经济运动等模式，搭配soc的设置，简直玩法多样，职务如何最省油还需要各位道友自行探索！第三也是最重要的，有免费粤毕牌子，早知道摇号的概率，都快赶上买彩票了，摇了两年也没用！这是最简单的捷径，恰逢深圳全面限外，借此机会，支持一下国产能源汽车！车子也不贵，国家地方都支持，免税啥的等等不用多少！！,
2017款 1.5T 尊贵型,陇南,2017年10月,12.89,5,5,5,5,5,5,5,5,上下班,购物,自驾游,跑长途,DM,,
2017款 1.5T 尊贵型,哈尔滨,2017年8月,13.99,4,5,5,5,4,4,4,5,上下班,,,,DM,,
2017款 1.5T 尊贵型,上海,2018年7月,13.86,3,5,3,5,4,2,2,5,上下班,,,,DM,家里有充电条件，上下班纯电使用，油价任你涨。纯电驱动时的静谧感受是跨级别的享受。动力强劲，实测最快01成绩4.8秒，这个级别无可挑剔,刚提车时候方向右跑偏，去4S店调整后解决。HEV SPORTS模式 舒适性欠佳，发动机震动直接传到方向盘上车厢里，不开空调会感受到前方传来的热量。胎压监测不是很精准
2017款 1.5T 尊贵型,上海,2018年7月,13.59,4,5,5,5,5,5,5,5,上下班,购物,接送小孩,自驾游,DM,最满意的就是不管内在外在都符合我心理的标准，没有很大的落差。还有就是够省,胎压很奇怪，之前都是很正常前天后轮胎压少了，然后我去充了气，过了两天汽又少了，但是少的也不多也就几十，估计是轮胎破了，但是打好了气开了一天也没有什么问题，放了一晚上就少了10个点，看了一下估计是破洞小，冒泡的这种，所以最终决定还是补胎吧，这么个问题换个胎还是有点大奢侈啊，说道轮胎我就要收不住，听一个朋友说，开秦的，98%轮毂会被剐蹭，反正我也是被剐蹭了，刮掉了很多漆，至今还担心会不会生锈呢
2017款 1.5T 尊贵型,上海,2017年9月,13.99,5,5,5,5,5,4,4,5,上下班,购物,自驾游,跑长途,DM,整体造型与老款有了很大的区别，前脸已经有所改变，避震听说请了奔弛的调教师来弄，科技感不错，有12.8寸的IPAD为主屏，配置相对来说虽然没老款全但还过得去。,虽然配置全，但还是差了几样：电动座椅，发动机启停技术以及我最不满意的就是点烟器居然放在中央的手扶里面。
2017款 1.5T 尊贵型,葫芦岛,2018年5月,13.99,4,5,4,5,4,4,4,5,上下班,购物,接送小孩,自驾游,DM,动力吧！只要舍得油耗能耗，真的很有感觉??还有比亚迪的云服务，行车电脑。大屏幕,混动模式下的电动油动切换点吧！36时速时切换挺耗能的，如果是60时速时切换会更好一些！
2017款 1.5T 尊贵型,杭州,2018年1月,13.79,4,5,3,4,4,4,4,4,上下班,跑长途,,,DM,,
2017款 1.5T 尊贵型,贵阳,2017年9月,13.98,5,5,5,5,5,5,5,5,上下班,接送小孩,自驾游,,DM,多：配置丰富，科技感强。快：提速超快，秒杀同价位车。好：驾乘感好，底盘稳扎。省：获各种补贴，免购置税、车船税，综合油耗低、用车费用省！！！,
2017款 1.5T 尊贵型,上海,2018年4月,13.99,4,5,4,5,4,4,5,5,上下班,自驾游,,,DM,油耗很满意，由于是磨合期说明书上要求电和油55开，不过我个人用油多一点目前混动跑了900公里 纯电跑了500多公里，综合下来是5.7度电和3.4个油。偶尔几天纯电开家里有充电桩设置晚上10点开始充电的话才3.3毛一度电还是非常省钱的，满点15度3.3毛一度电意思就是我跑80公里5块钱。,也没啥大的不满意，非要说的话就是人机工程吧!原来开的车科鲁兹方向可以上下前后四项调节但是这车只能上下调节，总感觉自己的位置没有原来车的满意。
2017款 1.5T 尊贵型,长沙,2018年2月,18.59,5,5,5,5,5,5,5,5,自驾游,跑长途,越野,,DM,动力和经济之间兼顾均衡，0-60km/h起步用电机，100km/h以上跑高速用油机，城里面堵车的时候电机完全可以代替油机来用，基本不用担心续航，不得不说比亚迪在新能源这块很有心得。,第一次买新能源，还得用用才知道，暂时没有，希望长沙这边的充电桩能更加普及就更好了。
2017款 1.5T 尊贵型,天津,2018年3月,13.99,4,5,4,5,4,4,4,5,上下班,,,,DM,,
2017款 1.5T 尊贵型,重庆,2017年12月,13.99,5,5,5,5,4,5,5,5,上下班,购物,接送小孩,自驾游,DM,这款车比较大的优点就应该是它的性价比了，车子优惠力度比较大，而且配置方面也是足够用的，这款车当做家用车很不错，在新能源车型中这款车就算是比较实惠的。,这款车的舒适性方面比较差，特别是在底盘调校上，过减速带的时候颠簸感比较明显，每次走烂路车内不仅颠簸而且隔音也不算太好。
2017款 1.5T 尊贵型,天津,2018年1月,13.8,4,5,5,5,4,4,4,5,上下班,,,,DM,经济适用，内饰风格不错，多媒体功能丰富，动力强劲，纯电模式反应很快，很静，较省油，基本上上下班不用油。大屏幕超级喜欢，导航再也不用用手机了，打电话用蓝牙也很方便；油耗较低，没有评论上说的低，我提车26天，赶上过年回家，基本上用的混动经济模式，油耗在6L左右，后期用电的上下班基本上就不用油，还是不错的；另外，车子加速超快，基本上第一个先行，超爽；购车是4S店统一办理的，办事人员不错，10天我就把车开走了，有些手续还没办完，给小刘赞一个！,
2017款 1.5T 尊贵型,保山,2018年1月,13.99,4,5,5,5,4,5,5,5,上下班,购物,接送小孩,自驾游,DM,这款车子的外观不错，而且动力很好，特别是在起步的时候车子非常的轻快，油耗比较少，在市区驾驶一公里的油钱只有三四毛钱。,隔音做的不是很完美，轮胎用的不够好，太噪比较大，在沥青路面噪音挺明显的。
2017款 1.5T 尊贵型,西安,2017年11月,14.0,5,5,5,5,5,5,5,5,上下班,,,,DM,,
2017款 1.5T 尊贵型,广州,2018年1月,13.99,5,5,5,5,4,5,5,4,上下班,购物,接送小孩,自驾游,DM,油耗方面还是非常棒的，作为新能源的一款车如果充电方便的话在市区开油耗会很低。,这款车的底盘还是不够完美的，过减速带的时候感觉颠簸感比较明显。
2017款 1.5T 尊贵型,呼和浩特,2018年1月,13.99,5,5,5,5,5,4,5,4,上下班,购物,接送小孩,自驾游,DM,油耗应该是这款车子最大的优点了，后期费用很少，在市区驾驶也不用担心耗太多的油，买新能源的车子省油是最大的亮点。,买这款车的时候也纠结了很长一段时间，毕竟车子不便宜，而且还是国产车，希望车子能够用的住，不要出现什么质量问题。
2017款 1.5T 尊贵型,佛山,2018年1月,13.99,4,5,5,5,4,5,5,5,上下班,自驾游,购物,接送小孩,DM,秦这款车价格方面还是比较实惠的，在新能源车中就算是比较便宜的一款车，而且还是比亚迪的品牌，在新能源车中比亚迪是我比较喜欢的一个品牌。,舒适性比较差，这款车的隔音不算好，如果速度比较快的话，车内能够明显的听到胎噪。
2017款 1.5T 尊贵型,九江,2017年11月,13.99,5,5,5,5,5,5,5,5,上下班,购物,自驾游,跑长途,DM,油电混合，市区油耗0，动力强！提速快！内饰豪华，驾驶感很舒适！2015年11月24日提比亚迪2015款速锐手动豪华版，2017年11月4日提比亚迪2017款秦尊贵版。比亚迪就是这样一个备受争议的品牌，第一部车就是因为自己买得起，配置高才入手的，后来的两年里面我细心呵护，音响灯光全部升级了，跑了3万公里，最后因为入手秦而不得不忍痛割爱了，秦就是我喜欢的车，他诠释了我所想要的新能源汽车和豪华感的追求，全包落地14万9，两年7万6定额免息贷款，这让我觉得梦想触手可及，好了，上图让大伙看一下吧！,偶尔倒车影像会受到电磁干扰，之前有侧方影像和倒车影像黑屏的情况，后面去4S店升级之后没有出现了
2017款 1.5T 尊贵型,成都,2017年12月,13.99,4,5,5,5,4,5,5,5,上下班,购物,接送小孩,自驾游,DM,这款车的油耗和价格是比较满意的两方面，首先车子的油耗很低，虽然车子买的时间不够长，不过在市区驾驶用纯电模式下油钱可以省下不少，而且这款车的价格也是比较实惠的，新能源车中就算是性价比比较好的。,空间不算大，我身高180坐在后排会有压抑感，前排正合适。这款车子的噪音也是挺明显的，速度快的话噪音就会比较大。
2017款 1.5T 尊贵型,上海,2017年10月,13.99,5,4,4,5,4,4,4,4,上下班,接送小孩,,,DM,可以充电，可以充电，可以充电！,国产的配置确实不错，装配工艺还需提高！国产品牌ssss 店的服务也需要提高！
2017款 1.5T 尊贵型,杭州,2017年12月,13.69,5,5,5,5,5,5,5,5,上下班,自驾游,,,DM,车子油耗 动力 内饰 质量,家用充电很慢 续航待提高 无备胎 车子没电就是噩梦 声音大 油耗高
2017款 1.5T 尊贵型,淄博,2017年6月,18.59,4,5,5,5,4,5,5,5,上下班,接送小孩,自驾游,购物,DM,外观不错，配置不错，而且这款车最大的优点就是它的油耗了，基本上就可以把汽油给省下了，如果不是长途驾驶的话车子基本上可以不用油。,底盘稍微硬了一些，这款车过小路的话颠簸还是比较明显的，舒适性方面不够完美。
2017款 1.5T 尊贵型,深圳,2017年8月,18.59,5,5,5,5,4,5,5,4,上下班,购物,接送小孩,自驾游,DM,这款车很方便解决了车牌的问题，摇号也是挺烦躁的，后来实在没办法就决定买电动车，秦这款车外观我很喜欢，当时第一眼看见就觉得非常漂亮。,这款车还是稍微贵了一些，如果买普通车的话这个价位可以买辆不错的suv，我自己还是偏向于suv的，不过suv价格方面更贵一些。
2017款 1.5T 尊贵型,南通,2017年12月,18.59,5,5,5,5,4,4,5,5,上下班,购物,自驾游,接送小孩,DM,配置还不错，价格也比较实惠，这款车在质量方面我觉得是我比较喜欢的。,车子的外观不大好看，前面看还不错，从屁股看感觉有些太单调了，线条处理的不是很完美。
2017款 1.5T 尊贵型,宁波,2017年12月,18.59,5,5,5,5,4,4,5,5,上下班,购物,接送小孩,自驾游,DM,这款车油耗应该是它最大的优点了，在市区如果用纯电模式的话就可以省下汽油了，在后续费用中可以省下一大部分钱。,这款车的隔音做得不算好，噪音还是比较大的，如果速度比较快，车内的胎噪和风噪都比较明显，在舒适性方面就稍微差点。
2017款 1.5T 尊贵型,成都,2017年10月,18.59,5,5,4,5,5,4,5,5,上下班,购物,接送小孩,自驾游,DM,比较满意的就是这款车的价格了，我觉得这款车的口碑还是非常不错的，优惠力度也比较好。看过几款新能源车，最满意的还是这款秦。,悬挂有些软了，转弯的时候就感觉侧倾比较大，车漆薄，只要一蹭就会擦掉漆。
2017款 1.5T 尊贵型,郑州,2017年11月,18.59,4,5,5,5,4,5,5,5,上下班,购物,接送小孩,,DM,在同级别的车中这款车的配置是我比较满意的，而且价格方面也非常不错，在新能源车中这款车的性价比就算是比较高的了，比较来比较去还是比较喜欢秦这款车。,车子的空间相对来说还是比较小的，看过的所有车中这款车的空间不算大的，后排坐三个人就会紧挨着。
2017款 1.5T 尊贵型,上海,2017年10月,13.49,3,5,5,5,3,3,4,4,上下班,购物,接送小孩,自驾游,DM,纯电出行特别省钱，可以预约每天晚上10点开始充电，3毛一度电，几块钱充满了，现在续航65-70左右，上下班110公里混动只烧一点点油，提速快，轻便,买来变速箱5档就是坏的，坏的！当时提车也没油，纯电试了一下没试出来，提好车去加满油开回家一路60码2800-3200转换挡，以为是比亚迪双离合的问题，贴膜的时候4s店检测了一下5档坏了，4档直接跳6档，厂家目前还没有任何回应，对厂家漠视态度很寒心！
2017款 1.5T 尊贵型,金华,2017年12月,18.59,4,5,5,5,4,5,5,5,上下班,购物,接送小孩,自驾游,DM,很早之前自己一直在研究新能源的车子，秦这款车是我各方面都比较满意的，而且这款车也算是比较早的一款新能源车子，技术方面我也算是比较满意的。,车子的空间方面不是很大，看过好几款suv在空间方面轿车还是不占优势的，后排坐三个成年人不会觉得很宽敞。
2017款 1.5T 尊贵型,海口,2017年10月,18.59,5,5,5,5,4,5,5,4,上下班,购物,接送小孩,自驾游,DM,这款车对我来说优点很多，首先车子的价格比较合适，这款车在新能源车中也算是卖得比较火的一辆车了，，配置很丰富。,隔音还是比较差的，这款车速度快的话还是会有噪音的，感觉车内的胎噪比较明显。
2017款 1.5T 尊贵型,深圳,2017年11月,17.2,5,5,5,5,4,5,5,4,上下班,购物,接送小孩,自驾游,DM,配置跟外观是我最喜欢的两方面，这款车的配置非常丰富，用起来感觉很顺手，而且车子的造型很漂亮，晚上的时候尾灯看起来特别的霸气。,隔音不算好，特别是速度比较快的时候，这款车的密封性做的不够完美，希望厂家能够多注意下舒适性方面的配置。
2017款 1.5T 尊贵型,洛阳,2017年12月,18.2,5,5,5,5,4,5,4,5,上下班,购物,接送小孩,自驾游,DM,这款车的外形和配置是我最满意的，外形看起来比较时尚而且线条处理的很好，配置非常丰富，用起来也比较顺手。,车子的隔音还是不够好的，速度快的话噪音比较明显，我感觉轮胎不是很好，胎噪还是比较明显的。
2017款 1.5T 尊贵型,东莞,2017年12月,18.3,4,5,5,5,5,5,5,4,上下班,购物,接送小孩,自驾游,DM,这款车子最好的两方面就是外观跟舒适性，外观设计的很具有个性，比较具有自己的特色，不像大街上开的一样，这款车很有自己的特点，而且这款车的舒适性比较好，噪音控制我比较满意。,空间不是很大，后排如果坐三个成年人的话就会感觉有些拥挤了，在后排空间上我觉得车子做的不好。
2017款 1.5T 尊贵型,广州,2017年10月,18.59,4,5,5,5,5,5,4,5,上下班,购物,接送小孩,自驾游,DM,这款车子最大的优点就是经济环保了，油电混合模式下带来的低油耗，再加上配置非常高科技，中控大屏既好看又实用，所以这款车用起来还是非常不错的，纯电模式下非常安静。,车子的底盘有些低，特别是过一些烂路的时候比较容易刮到底盘。
2017款 1.5T 尊贵型,上海,2017年8月,18.59,5,5,5,5,4,5,5,4,上下班,购物,接送小孩,自驾游,DM,外观不错，很稳重，不张扬。动力很好，加速感觉挺棒的。,噪音还是有的，特别是上高速的时候。
2017款 1.5T 尊贵型,上海,2017年9月,13.79,5,5,5,5,5,5,5,5,上下班,购物,接送小孩,,DM,车子用电环保且在上海送沪牌又有补贴，价格实惠。,座位没有自动调节，不带通风和加热功能，另外全景影像也没有，不过这个价位，可以接受了
2017款 1.5T 尊贵型,上海,2017年7月,13.99,4,5,3,4,4,5,5,5,上下班,,,,DM,最满意百公里加速5.9秒不到的速度，12.8寸中控屏,轮胎不耐用，中控屏有时候死机，倒车无影像，没电的时候像是在开拖拉机
2017款 1.5T 尊贵型,深圳,2017年9月,13.99,5,5,5,5,4,4,5,5,上下班,自驾游,,,DM,动力充沛，空间够大，操控性好，使用成本低！,有些许异响，功能太多，要想发挥到最好的状态，需要花费不少心思！
2017款 1.5T 尊贵型,池州,2017年9月,18.59,5,5,5,5,4,5,4,5,上下班,购物,接送小孩,自驾游,DM,真皮的方向盘握起来特别舒适，电动天窗在我自驾游的时候舒缓了不少的疲惫，低油耗高动力也让我可以肆意的穿行。,要说不满意的话，应该就是噪音问题了，车速太高的话，胎噪会比较大，隔音效果一般，在市区还好，如果跑高速会比较吵。
2017款 1.5T 尊贵型,芜湖,2017年7月,18.6,5,5,5,5,5,5,4,5,上下班,接送小孩,自驾游,跑长途,DM,最满意的就是这款车的空间，整体够大够宽敞，驾驶位置很宽敞，驾驶体验特别好，前排与后排之间间距也很大，差不多有三个拳头的距离，后排还可以放倒，当床休息，这点简直设计的太棒了。,最不满意的是这车刚买来的时候有一股异味，不知道会不会难去掉。好像是新车的味道，我买了空气净化器打算去去味道，好几天了味道还是有，闻着很不舒服，希望过段时间这个味道能去掉。
2017款 1.5T 尊贵型,哈尔滨,2017年5月,18.6,5,5,5,5,5,5,4,5,上下班,接送小孩,自驾游,,DM,最满意的是这款车的空间，确实做得蛮大的，无论是乘坐空间还是储物空间，都很充沛。特别是后排座椅，坐三个大人一个小孩也很OK，而且还能坐得挺舒服的，不会拥挤，腿部空间特别充足。,最不满意的是这车刚买回来的时候有一股味道，有点刺鼻，像是塑料的味道。后来自己买了空气净化器放在车里去味道，好几天了呢，还是有点味道。
2017款 1.5T 尊贵型,天津,2017年8月,13.99,5,5,5,5,5,5,5,5,上下班,购物,自驾游,,DM,哪里都挺满意的，从销售到开了这一阵子，在驾驶上没有什么我觉得想要吐槽的地方,不满意的就是那个安卓系统，太卡了，还死机过一次
2017款 1.5T 尊贵型,松原,2017年7月,18.6,5,5,5,5,5,5,4,5,上下班,接送小孩,自驾游,,DM,这车的车型挺大气的，而且各种设计非常人性化，给我感觉很好，整体来说非常舒适，非常适合我的需求。,最不满意的是这车的胎噪声，尤其是开车车速快点的时候，这车的胎噪声就挺明显的。
2017款 1.5T 尊贵型,绍兴,2017年7月,18.6,5,5,5,5,5,5,4,5,上下班,自驾游,跑长途,,DM,最满意的是这款车的外观，外观设计很有时尚范，好看大气，而且很有设计感，有自己的特点。外观线条流畅，做工也是挺精致的，整体看起来时尚大气，引人注目。车灯设计也很别致很漂亮。,最不满意的是这车胎噪声比较大，特别是车子开快点的时候，声音会比较明显。不知道别的车型是不是这样，如果没有声音就好了。
2017款 1.5T 尊贵型,菏泽,2017年5月,18.6,5,5,5,5,5,5,4,5,上下班,接送小孩,自驾游,,DM,最满意的是这款车的外观，时尚大气，霸气外露，整体线条设计很流畅，看起来非常的酷。特别是前大灯的设计，很别致，很有时尚范，让人越看越喜欢。外观做工精细，细节处理挺到位的，各部分衔接也是挺紧密的！,最不满意的是这款车的胎噪声，尤其是车子跑快点的时候，胎噪声就挺明显的。
2017款 1.5T 尊贵型,常州,2017年6月,18.6,5,5,4,5,5,5,5,5,上下班,接送小孩,跑长途,,DM,最满意的是这款车的性价比了，买这车让我感觉买到赚到了，确实做得挺好的。这款车的外观很有自己的特点，时尚大气上档次。这款车开起来挺舒适的，配置的功能也是蛮多的，这个价格买这样的配置感觉超划算。,最不满意的是这款车刚买回来的时候，新车塑料味道比较大。后来听朋友说茶叶还有竹炭能去味，就买了一些茶叶和竹炭放在车里，现在就基本没味道啦。
2017款 1.5T 尊贵型,宿迁,2017年7月,18.58,5,5,5,4,5,4,5,4,上下班,购物,赛车,,DM,对这款车子最满意的应该就是它的外形了，买回家之后家人都非常喜欢它，整体的设计很完美，特别是车灯让人感觉过目不忘，这款车我第一次看见它是在单位的楼下，在太阳底下看着非常漂亮，给我感觉非常惊艳，比较上档次的一款车。,没有，过，最爱比亚迪。
2017款 1.5T 尊贵型,天津,2017年11月,13.49,5,5,5,5,5,4,5,5,上下班,自驾游,,,DM,,
2017款 1.5T 尊贵型,荆门,2018年3月,13.99,4,5,5,5,5,5,5,5,上下班,接送小孩,自驾游,,DM,,
2017款 1.5T 尊贵型,临沂,2018年5月,14.99,4,5,4,5,4,4,4,5,上下班,购物,自驾游,,DM,,
2017款 1.5T 尊贵型,乌鲁木齐,2018年5月,14.0,5,5,5,1,5,5,5,3,上下班,,,,DM,,
2017款 1.5T 尊贵型,固原,2018年9月,13.1,5,5,5,3,5,4,5,5,上下班,,,,DM,,
2017款 1.5T 尊贵型,深圳,2018年1月,13.99,4,4,5,4,4,5,5,3,上下班,,,,DM,油电混合切换，烧油可跑高速，用电可上班代步，能上粤B牌,问题多，先是云服务出问题，打电话给客服多次，得到的回答就是重启，多次无果后去4S店花了两天时间修好了，接着又是倒车影像出问题，9月29号去4s店检修好了，10月3号（今天）又出现问题，今天还差点蹭到人了，下面又聊天记录。反复了好几次，时间也花了，问题还是解决不了！！！
2017款 1.5T 尊贵型,深圳,2017年10月,13.99,5,5,5,5,4,5,5,5,上下班,接送小孩,自驾游,跑长途,DM,不限行，不用摇号，提速快，油耗低，高速平稳，配置高。,没有非常不满意的，非要讲那就是低盘太低，纯电继航少，充电慢了。
2017款 1.5T 尊贵型,广州,2018年8月,13.6,4,5,4,5,4,3,5,5,购物,,,,DM,这个价位配置算很高，再加上不限牌，性价比非常突出，又可以跑长途。,地盘隔音较差，车尾造型不喜欢，车身比较重灵活性较差。馈电状态下的行驶感受太差。
2017款 1.5T 尊贵型,贵阳,2018年8月,14.0,4,5,5,5,4,4,4,4,上下班,接送小孩,自驾游,,DM,,
2017款 1.5T 尊贵型,广州,2018年6月,13.5,5,5,5,1,1,1,5,2,拉货,,,,DM,,
2017款 1.5T 尊贵型,哈尔滨,2018年7月,13.99,4,5,5,5,5,5,5,5,上下班,接送小孩,自驾游,拉货,DM,绿色牌照，单双号不限行，平常用车出行比较方便。油耗低，市区用车充电方便用电就可以了，很省钱。颜值高，样子好看，动力强，而且配置跟功能丰富。,要是有全景天窗版本在加个全景影像就更好了。
2017款 1.5T 尊贵型,盘锦,2018年6月,14.34,4,5,5,5,5,4,5,5,上下班,接送小孩,自驾游,,DM,动力！！！一句“静若处子，动若脱兔。”来形容秦再适合不过了，平时纯电代步舒适安静，需要动力时混动sport比兔子跑的还快。再加上前后都是铝合金价的独立悬架，电动助力转向市区纯电代步真是很惬意，遇到不爽的瞬间加速秒杀，成就感满满的。而且动力这么好的同时还各种省油。相当满意了。,原厂轮胎质量一般，玩急加速时候抓地力不够，而且胎噪有些大，等换胎时候高低要上米其林以上的轮胎。然后隔音做的也一般，速度快一代，胎噪就特别明显。
2017款 1.5T 尊贵型,临沂,2017年12月,14.0,5,5,5,4,5,5,5,3,泡妞,上下班,赛车,,DM,生油省钱更拉风，电动车最大的优势就是安静，开起来就是上档次，每当听这个那个说自己的车开起来就像拖拉机一样，再看我的安静小座骑，心里美滋滋儿啊……,储蓄空间太小，出门拉的东西太少，不够我显摆的
2017款 1.5T 尊贵型,郑州,2018年3月,13.6,3,5,4,5,4,5,5,1,上下班,,,,DM,最满意的要说秦的提速了5.9真不是盖的，加速推背感和上百万的车错不到哪去,一定要说，纯油模式下，我真想说这到底是自动挡吗？自动挡的车我硬TM开出来了手动挡的感觉，顿挫感太强，尤其是起步油门大时，太明显了
2017款 1.5T 尊贵型,哈尔滨,2017年12月,13.99,4,5,5,4,3,4,5,5,上下班,,,,DM,,
2017款 1.5T 尊贵型,广州,2017年11月,14.5,5,5,5,5,3,5,5,5,上下班,购物,自驾游,,DM,,
2017款 1.5T 尊贵型,深圳,2017年8月,13.99,4,5,5,5,4,4,5,4,上下班,接送小孩,自驾游,跑长途,DM,内饰上档次，新车无异味，空间够用，纯电和混动经济模式下很安静。加速快，外观也好看。总体还是满意的,油漆比较薄，难避免的刮蹭容易掉漆。高速的时候偶尔车内会有异响，不过问题不大，基本可以接受
