购买车型,购买地点,购买经销商,购买时间,购买裸车价,空间,动力,操控,能耗,舒适性,外观,内饰,性价比,购车目的1,购车目的2,购车目的3,购车目的4,口碑
秦                        2017款 1.5T 秦100,莱芜 ?,莱芜鑫正比亚迪销售服务店,2017年7月,21.00?万元,5,5,4,5,5,5,5,5,上下班,接送小孩,自驾游,跑长途,【最满意的一点】最满意的是这款车的空间，够宽敞的，前排与后排之间的距离有二三十公分宽，后排可以坐三个大人一个小孩完全没有问题，一点都不拥挤。【最不满意的一点】最不满意的是这款车的悬架偏硬，过减速带的时候，震动感会比较大。【空间】这车的乘坐空间宽敞，我两百斤左右，坐驾驶位置，一点都不拥挤，左右手和头部空间挺足的，很好操控车。【动力】这车动力强劲，车子跑起来挺有劲的。提速挺快的，只要舍得给油，速度可以迅速加速起来。即使开着空调，这车跑高速一点都不费劲，轻轻松松的。【操控】这款车方向盘轻巧灵活，转向精准，没有虚位。这车底盘不低，过减速带的时候，完全不会碰到。【能耗】车子提回来有段时间了。平常我主要是在市区开车，再加上这车是混合动力，油耗挺省的，目前仪表盘...
秦                        2017款 1.5T 秦100,宝鸡 ?,宝鸡大丰比亚迪4S店,2017年6月,21.00?万元,5,5,4,5,5,5,5,5,上下班,接送小孩,自驾游,跑长途,【最满意的一点】最满意的是比亚迪秦这款车的动力，挺强劲的，满载的情况下，车子跑起来一点都不费劲，轻轻松松的。而且现在夏天时期，经常开空调，跑高速也是很有冲劲。【最不满意的一点】最不满意的是这款车刚买回来的时候，有一股新车塑料味道，自己买了空气净化器来去去味道，不过到现在还是有点。【空间】这款车的空间挺宽敞的。后排放个儿童安全座椅，旁边在坐两个大人也是不拥挤的，腿部空间还是挺充足的。【动力】我平常喜欢开快车，如果能超车的情况下，都会使劲的超车。这款车提速快，稍微踩点油门马上就超越了，动力算是不错。【操控】这款车挺好挂档的，一点都不卡顿。方向盘挺轻巧的，转向灵活精准，没有虚位。【能耗】这款车买回来有一段时间了，目前仪表盘上显示一百公里耗油5L。油耗算是...
秦                        2017款 1.5T 秦100,金华 ?,金华亚通,2017年7月,21.00?万元,5,5,5,5,5,5,4,5,上下班,接送小孩,自驾游,跑长途,【最满意的一点】最满意的是比亚迪秦这辆车的空间，我是肥胖型身材，个子也比较高。平常在驾驶坐着也不会觉得腿脚伸张活动受限，空间算是比较大的。【最不满意的一点】最不满意的是这辆车的中控屏系统，反应速度不是很快，有点缓慢。对于我这种急性子的人来说，在这方面相对还满足不了我。【空间】这车空间比较大，不用考虑空间太小，东西不好放置。视线相对比较好，不用担心视线会受到干扰，安全系数比较高。【动力】比亚迪秦这车的动力很可以。特别是红绿灯之后，稍微踩下油门提速速度相对比较快，也是混合动力这点真是不错。【操控】这车的方向盘皮质不错手感也很好。底盘不会很低，陡峭路上不用担心会碰到底盘，以免碰撞车子底部。【能耗】车辆开到现在有一段时间了，油耗仪表上一百公里耗油差不多5L...
秦                        2017款 1.5T 秦100,安阳 ?,安阳市华伟汽车销售公司,2017年6月,21.00?万元,5,5,4,5,5,5,5,5,上下班,接送小孩,自驾游,跑长途,【最满意的一点】最满意的是这款车的空间，做得挺宽敞的，这车的空间挺让人满意的。老爸一百七十斤左右坐在后排，跷二郎腿，一点都不拥挤，腿部空间还是挺充足的，可以自由伸展。旁边在坐两个大人也是没有问题的。【最不满意的一点】最不满意的是这款车的中控彩色大屏反应速度有点慢，对于咱们这种急性子的，实在用不习惯，还是习惯用手机。【空间】这款车的空间要给它一个大大的赞，确实是挺不错的。前排与后排之间的距离有二三十公分宽。我快一百七十来斤坐在驾驶位置上，一点都不觉得压抑，头部和左右手空间挺充足的，很好的操控车子。储物格设计也是挺多的，可以放不少的东西。【动力】这车的动力表现不错，1.5T涡轮增压发动机动力十足，车子跑起来挺有冲劲的。平常主要是在市区开车，这车的动力完全可以满足我日常...
秦                        2017款 1.5T 秦100,德阳 ?,德阳富马比亚迪,2017年7月,21.00?万元,5,5,4,5,5,5,5,5,上下班,接送小孩,自驾游,跑长途,【最满意的一点】最满意的是这款车的空间，确实是挺宽敞的。尤其是后排座位，坐三个大人一个七岁小孩也是没有问题的，后排座椅和前排座椅之间的距离也比较宽，腿部不会觉得拥挤，可以自由伸展。【最不满意的一点】最不满意的是这款车刚买回来的时候，有一股新车塑料味道，自己放了几包竹炭包进去，消消味道，到现在还是有点。【空间】比亚迪秦和同价格级别的车型相比较而言。空间确实比较大些，后排放个儿童安全座椅，旁边在坐两个大人也是没有问题的。【动力】比亚迪秦这车是混合动力，提速算是还可以。这款车子超车有着强劲的动力还算不错，夏天开着空调，满载的情况下，车子跑起来一点都不费劲。动力输出挺稳定的。【操控】比亚迪秦这车的方向盘比较容易操控，不会很生硬。底盘高低适当，遇到坑坑洼洼的路况也不...
秦                        2017款 1.5T 秦100,哈尔滨 ?,哈尔滨振海,2017年7月,21.00?万元,5,4,5,5,5,5,5,5,上下班,接送小孩,自驾游,跑长途,【最满意的一点】最满意的是这款车的空间和配置，我买的高配版的，基本上配置功能都有，而且空间挺宽敞的，这点让我挺满意的，这样的车开起来大大提高乘坐的舒适性。【最不满意的一点】车子买回来气味比较重，当时提车的时候买空气进化器，还有活性炭。现在感觉好多了，没什么味道了。【空间】空间设计挺人性化的，空间布局考虑比较合理，这样方便上下车。后排空间挺大，方便我做生意多送点货等。【动力】动力方面算中等，可能是新车还在磨合期当中，体验不出动力的强劲。平常开车没什么用力给油，算是比较普通的驾驶。【操控】操控还算顺手，车子方向盘比较轻，过坑洼路段不是很颠簸，挺好的。经常开的路段最近一直在修路，路面坑坑洼洼的，这车独立悬架不错的，车子开起来还算挺舒适的。【能耗】我主要是...
秦                        2017款 1.5T 秦100,西宁 ?,乾元新景比亚迪,2017年7月,21.00?万元,5,5,4,5,5,5,5,5,上下班,接送小孩,自驾游,跑长途,【最满意的一点】最满意的是这款车的外观，时尚大气挺上档次的。车子提回家，家人都挺满意的。都争先抢着开这款车。车身线条流畅度高，车前部格珊设计，看起来挺霸气的感觉。车灯设计也是挺新颖的，看着挺漂亮的。【最不满意的一点】最不满意的是这款车的胎噪声，尤其是咱们车子开快点的时候，胎噪声就会变得挺明显的。【空间】这款车的空间挺宽敞的，我快两百来斤坐在驾驶位置，一点都不觉得拥挤，头部和左右手空间挺足的，可以很灵活的操控这款车。后备箱也是挺大的，出去玩，放三个中等旅行箱完全没有问题。【动力】这款车的动力挺充沛的，1.5T涡轮增压发动机动力十足。跑高速或者爬坡轻轻松松的，一点都不吃力。超车或者变道也是挺不错的，加速能力挺强的。【操控】这款车的方向盘很轻巧，手感不错，转向灵...
秦                        2017款 1.5T 秦100,滨州 ?,山东滨州昌远,2017年6月,21.00?万元,5,5,5,5,5,5,4,5,上下班,接送小孩,自驾游,,【最满意的一点】最满意的是这款车的外观了，设计得挺有自己的个性。看来比亚迪公司的设计师挺有时尚潮流元素的。整体看起来很时尚大气，车身线条流畅度高，车前部和尾部凹凸有致，设计感挺强的。让人看了爱不释手。【最不满意的一点】最不满意的是这款车的胎噪声，挺大的，特别是车子速度快点的时候，声音挺明显的。【空间】这车的空间挺宽敞的。后备箱也是挺大的，上次出去玩，后备箱放了三个旅行箱也都是可以放得下。前排与后排之间的距离有二三十公分宽。【动力】这车的动力挺强劲的。满载的情况下，车子跑起来一点都不费劲。提速挺快的，只要舍得给油，速度一定可以跟的上。【操控】这车的刹车系统挺灵敏的，稍微踩下就有制动的效果。这车方向盘手感不错，不重，女生都可以单手操控，转向精准灵活，没有虚位。...
秦                        2017款 1.5T 秦100,吉安 ?,吉安广合缘汽车,2017年6月,21.00?万元,5,5,5,4,5,5,5,5,上下班,接送小孩,自驾游,拉货,【最满意的一点】最满意的是这款车的性价比，确实做得挺棒的。比亚迪这大品牌，有过硬的技术支持，比亚迪秦这款车做得挺让人放心的，价位还可以让人接受，外观时尚大气，空间也是挺宽敞的，配置的功能挺齐全的，这款车开起来让人挺舒心的。【最不满意的一点】最不满意的是这款车悬架偏硬，过有坑路段，会有比较大的震动感。【空间】这款车的空间挺宽敞的，我两百斤坐在驾驶位置，一点都不觉得拥挤。后备箱也是挺大的，可以放两个大的旅行箱都没有问题。【动力】这款车的动力挺充沛的。提速挺快的，只要舍得给油。平常开着空调，满载的情况下，这车跑起来一点都不费劲，动力输出挺稳定。【操控】这车的方向盘挺轻巧的，转向精准灵活。而且这款车的刹车系统挺灵敏的，稍微踩下就有感觉。【能耗】这车的油耗可...
秦                        2017款 1.5T 秦100,西宁 ?,青海亚通比亚迪4S店,2017年7月,21.00?万元,5,5,5,4,5,5,5,5,上下班,接送小孩,自驾游,跑长途,【最满意的一点】最满意的是这车的空间，确实够宽敞的，特别是后排座位，可以做三个身材肥胖的大人，后排坐骑和前排座椅距离也比较宽，不会觉得拥挤。【最不满意的一点】最不满意的是这车的雨刮器。下大雨的时候感觉雨刮器不能刮得干净，得速度弄快点的才能刮干净。【空间】比亚迪秦和同价格级别的车型相比较而言。空间确实比较大些，正常后排可以容纳3个人，必要时加个小孩也可以坐。【动力】比亚迪秦这车1.5T的动力，提速算是比较快。这款车子超车有着强劲的动力还算不错，深受购买者欣赏喜欢。【操控】这车的方向盘比较容易操控，不会很生硬。底盘高低适当，遇到坑坑洼洼的路况也不用担心会碰到底部，相对比较高。【能耗】平常主要在市区上班行驶，偶尔接送孩子上下学而已，没有经常跑长途。差不多...
秦                        2017款 1.5T 秦100,绍兴 ?,绍兴迪远比亚迪,2017年6月,21.00?万元,5,5,5,5,5,5,4,5,上下班,接送小孩,自驾游,,【最满意的一点】最满意的地方当属空间大了，这个空间简直是很大，平时经常要放很多东西，还偶尔要带着客户或者同事一起去，载人载物都是小事一桩。无论多少东西，都可以使劲装。【最不满意的一点】最不满意的是这款车刚买回来的时候，新车塑料味道比较重，买了空气净化器来去去味道，不过到现在还是有点。【空间】空间超级大，载人载物都不成问题。我这种大高个儿坐在驾驶舱里都绰绰有余，后排空间跷二郎腿都没问题。这个空间我超级满意。储物空间完全没有问题，这车简直都可以当货车用了。【动力】动力表现很好，踩一下油门就很有速度了。平时稳踩缓踩也完全够用。速度起来后，超车毫无压力，轻松就能120-130，不过不要轻易去尝试，还是要安全第一。【操控】方向盘很轻巧，转向灵活精准。可能是为了烂路面...
秦                        2017款 1.5T 秦100,辽阳 ?,辽阳兴旗,2017年6月,21.00?万元,5,5,5,5,5,5,4,5,上下班,接送小孩,自驾游,跑长途,【最满意的一点】最满意的是这款车的性价比了，确实做得挺好的。外观时尚大气，比亚迪这大品牌，技术过硬，这款车外观设计出自己的特点出来。空间也是挺宽敞的，配置的功能也是蛮多的，这款车开起来很舒服。【最不满意的一点】最不满意的是这款车刚买回来的时候，新车塑料味道比较大，自己买了空气净化器来去去味道，到现在还是有点。【空间】这款车的空间做得挺好的，进入内部空间整体感觉挺宽敞的。后排座椅可以坐三个大人一个小孩都没有问题。储物格也是挺多的。【动力】这车的动力挺充沛的。提速挺快的，在红绿灯处起步的时候，稍微踩下油门就马上有速度，爬坡之类的也是轻轻松松的。【操控】这车很好挂挡，一点都不卡顿。方向盘很轻巧，转向精准灵活，路况反馈信息清晰。【能耗】这款车的油耗表现还算...
秦                        2017款 1.5T 秦100,连云港 ?,连云港苍梧,2017年7月,21.00?万元,5,5,5,5,5,5,4,5,上下班,接送小孩,自驾游,跑长途,【最满意的一点】最满意的是这车的空间，做得挺宽敞的。从进入内部空间就可以明显的感觉到。我快两百的斤的胖子坐在驾驶位置，还是挺宽敞的，一点都不拥挤，腿部空间还是挺足的，可以灵活伸展。【最不满意的一点】最不满意的是这款车的内饰设计还是比较早期，中控台的样式比较稳重，缺少年轻人喜欢的动感时尚元素。【空间】这款车的空间布局挺合理的，车身长，整体的乘坐空间看起来很宽敞。后排坐三个大人一个小孩都是没用问题的。后备箱可以放三个中等旅行箱都是没用问题的。【动力】这车的动力表现不错，1.5T涡轮增压动力挺强劲的。平常带全家人出去玩，这车的动力表现挺稳的，一点都不感觉到吃力。平常开着空调开车，这车爬坡之类的也是不费劲，动力杠杠的，提速也是挺快的哦！【操控】这车的刹车系统做的挺...
秦                        2017款 1.5T 秦100,德州 ?,齐河凯迪比亚迪,2017年6月,21.00?万元,5,5,5,5,5,5,4,5,上下班,接送小孩,自驾游,,【最满意的一点】最满意的是这款车的外观，时尚大气，整体线条设计很流畅，特别是晚上开灯的时候，这款车看起来非常的酷。特别是前大灯的设计，很有时尚范，让人越看越喜欢。【最不满意的一点】车子买回来有一点时间了，暂时没有发现什么大问题的。个人感觉胎噪声有点大。【空间】这款车的空间设计得挺宽敞的。空间布局挺合理的。我快一百七十斤的人坐在驾驶位置，一点都不觉得拥挤，左右很好操控，腿部空间还是挺足的。【动力】这车的动力输出挺稳的，动力蛮强劲的，提速快，只要舍得给油，速度一定可以跟得上。平常带全家人出去玩，满载的情况下，也是毫不费劲。【操控】这车的方向盘很轻巧，让女生开都可以单手操控，转向灵活，没有虚位。这车的刹车系统挺灵敏的，稍微踩下就有感觉。【能耗】这车的油耗...
秦                        2017款 1.5T 秦100,抚州 ?,新力汽车,2017年7月,19.99?万元,5,5,5,5,4,5,5,5,上下班,购物,接送小孩,泡妞,【最满意的一点】空间非常大，后排空间真是很大，坐过的人应该都清楚。我身高178体重180斤，坐在后排感觉还是挺宽敞的，我觉得后排任何人坐都没有什么问题。【最不满意的一点】可能是买新车的时间不是很对，这个季节买车车内的异味会有点大，但散发的也比较快。【空间】车子的空间真是非常好，后排空间特别的大，驾驶坐空间也还可以，我身高178体重180斤，坐在驾驶座椅上感觉正合适，我自己非常喜欢出去玩，什么一日游的最适合我了，买车了之后最大的感觉就是出去玩很方便，不用打车也不用害怕拿的东西太多了，一般就是我们一家三口出去，车上无论装多少东西都装不满。【动力】动力还不错，1.5t的，现在都比较流行用涡轮增压，感觉还是挺好的，其他的也都还不错。跑高速一点问题都没有，车子买的时间不长，...
秦                        2017款 1.5T 秦100,石家庄 ?,河北同驰汽车,2017年7月,19.99?万元,5,5,2,5,5,2,3,5,自驾游,跑长途,接送小孩,上下班,【最满意的一点】这款车子的噪音非常的低，纯电模式下感觉车子的内部基本上感觉不到声音，尤其是车子在，起步的时候，仅仅能感觉到电机产生的一点点声音，如果不仔细听的话根本听不出来，感觉这款车子的舒适性还是非常不错的。【最不满意的一点】这款车不太满意的，就是车子的悬挂了感觉这款车子的悬挂比较软，再跑一些，起伏路面的时候，车子的，底盘感觉不是很扎实，尤其是在高速过弯的时候，这款车的侧倾会比较的明显。【空间】车内的空间挺宽敞的，储物空间也非常好，这点还是非常满意的。【动力】这款车子最大的优点就是静音性非常好，电动机感觉起步的时候和加速的过程中几乎觉察不到噪音，还是非常给力的。【操控】操控性感觉稍微差了一点，尤其是过弯的时候，侧倾比较的明显。【能耗】电动车最大的...
秦                        2017款 1.5T 秦100,赣州 ?,赣州众和比亚迪4S店,2017年5月,20.99?万元,5,5,5,5,5,5,5,5,上下班,接送小孩,,,【最满意的一点】很多人都说这车的底盘避震用料特别扎实，可以和三十多万的车比一比了，开上去真的感觉不一样，过减速带感觉好多了。【最不满意的一点】暂时没什么特别不满意的就是，就是感觉车子的隔音效果一般般吧，没有达到我的理想状态，也可能是我的要求太高了吧。【空间】空间较好，和其他车放在一起会看出来比其他同类型的车高很多，各种作为调节很舒适，后备箱家用足够的，如果是老款的后备箱就有点小了。【动力】不论是混动模式还是纯电动模式，1.5的动力加速感觉都是不错的，家用肯定是没问题。【操控】刹车、油门比较轻，平时驾驶的时候，稍微点下刹车就起作用，老婆开也能轻松驾驭。【能耗】油耗方面车子表现也很不错，1.5的发动机，平时有好在百公里6.8左右，市区堵车的时候稍微高一...
秦                        2017款 1.5T 秦100,成都 ?锦江,锦江比亚迪新能源中心,2017年5月,20.99?万元,5,5,5,4,5,3,4,5,上下班,自驾游,,,【最满意的一点】纯电模式很安静，运动模式提速棒棒哒，过减速带感觉好多了，感觉车身比较稳【最不满意的一点】运动模式的发动机声音比较大，在能接受的范围之内，价格便宜点就更好了，销售态度没有其他合资车的态度好【空间】我是一名女司机，身高163cm，感觉空间足够了，后备箱也比较大【动力】几秒提速100码没试过，不过提速确实很好，高速上提速...
秦                        2017款 1.5T 秦100,上海 ?,上海华裕4S店,2017年5月,20.99?万元,5,5,5,5,4,5,4,5,上下班,自驾游,,,【最满意的一点】性价比很高，电动车非常好，外观抢眼，设计方面个性十足，很棒。【最不满意的一点】目前还没发现什么大问题，有了再来分享。【空间】整体空间设计还是比较合理的，首排坐着还算舒服，本人身高180cm，略显紧凑，不过已经很满意了，后排同事坐说感觉很宽裕，储物空间相当喜人。【动力】加速迅猛，低速高速都是，80提速感觉都不虚，但低速优势更明显些。【操控】刹车、油门比较轻，在平时驾驶中，稍微点下刹车就有起作用，驾驶很安全，老婆开都很轻松。【能耗】非常满意，混动的车子比汽油车省钱太多了。【舒适性】平时上下班都是在城市里跑，道路都比较平坦，舒适性表现绝对秒杀油车，没什么噪音，非常舒服。【外观】外观上整体颜值还是相当高的，充满动感，可以遇见...
秦                        2017款 1.5T 秦100,菏泽 ?,菏泽润众汽车,2018年1月,19.99?万元,4,5,5,4,3,4,4,5,上下班,自驾游,,,
秦                        2017款 1.5T 秦100,广州 ?,广州亚美迪,2018年8月,13.20?万元                                补贴后,4,5,5,5,4,4,4,4,上下班,,,,【最满意的一点】省油 动力 虽然S7空间 和其他方面挺满意的 8元的92 11的综合油耗真的吃不下 加上广州限牌 S7只服役了11个月就上秦了【最不满意的一点】馈电感觉还是差 一般如果电量低于7% 都会原地发电到20 再开【空间】空间：172身高 空间还可以 就是方向盘不能前后调 这点不好【动力】动力：动力各种爽 特别换了18寸轮毂 起步 刹车更有信心了【操控】操控：底盘操控在这个价位排前面【能耗】能耗：一般3天充一次电吧 虽然充电桩离家800米 还是懒【舒适性】舒适性：就是副驾座椅不能调高低是个坑 有点做小板凳的感觉【外观】外观：外观比较一般【内饰】内饰：还算满意【性价比】性价比：性...
秦                        2017款 1.5T 秦100,杭州 ?,杭州保捷汽车,2017年7月,19.99?万元,5,5,5,5,4,3,5,3,上下班,,,,"【最满意的一点】动力,纯电起步也不是盖的,平时出门都是纯电行使,买的时候还有电力补贴【最不满意的一点】外观还是有点土,不过请了奥迪设计师,希望后续外观灯饰往那边靠靠【空间】和普通轿车后备箱大小相差无几【动力】别的不说,20W以内的车无敌手加速表现：平时纯电节能模式,红绿灯轻踩油门,直接把旁边车道拉开距离了跑高速：高速油电混合节能模式,以烧油为主,加减速靠电力系统【操控】好几次80码,路面积水一边轮子开到水里,EPS立马起作用,稳住车身底盘及悬架：电池底置后,重心稳稳的,不会飘,特别是上高速后,和别的车有明显感觉差异【能耗】10.9KWH 3.6L城市路段表现：纯电行使,也会开运动模式,夏天平均30KWH,冬天40KWH高速路段表..."
秦                        2017款 1.5T 秦100,开封 ?,2017年7月,20.39?万元,8.3?千瓦时/百公里8928?公里,5,5,5,5,5,4,4,5,上下班,自驾游,跑长途,商务接送,【最满意的一点】云服务的远程开启空调在夏天最好用了，倒车影像也能节省很多精力，纯电动行驶很安静，混动胎噪略大，不过可能是开惯了纯电的安静，有了对比的原因…因为在关窗的情况下隔音效果还是挺好的，当然最值得提的就是动力方面，纯电超车也很棒，混动超车更是轻松，完全无压力，驾驶很爽【最不满意的一点】要说最不满意并没有，小毛病都在接受范围之内，主驾驶左空调...
秦                        2017款 1.5T 秦100,衡阳 ?,长沙金旋风,2017年5月,20.00?万元,5,5,5,5,5,5,5,5,上下班,,,,【最满意的一点】据多年修车的老师傅说底盘 避震用料扎实 赶的上很多30多万的车 谁用谁知道 大屏大屏大屏 是说3遍么【最不满意的一点】纯电太安静 搞的一些其他声音反而不习惯【空间】同事185 坐前后排 都五任何压抑感【动力】快 非常快 速度是油车无法比拟的加速表现：电动特性 红灯起步 轻点油门 轻松领先50米 反应迅速无延迟...
秦                        2017款 1.5T 秦100,苏州 ?,吴江日升比亚迪,2017年8月,20.36?万元,5,5,5,3,5,4,5,5,上下班,,,,
秦                        2017款 1.5T 秦100,杭州 ?,杭州卓御比亚迪下城店,2017年4月,20.99?万元,5,5,5,5,5,3,4,4,上下班,,,,
秦                        2017款 1.5T 秦100,上海 ?,上海华帆旗申汽车,2017年7月,20.39?万元,4,5,4,5,4,4,5,5,上下班,购物,接送小孩,自驾游,【最满意的一点】最满意的地方:加速带来的推背感，12.8寸中控，座椅通风，方向盘与座椅的记忆联动系统!【最不满意的一点】最不满意:座椅稍微有些短，由于是真皮也不是特别软，长时间驾驶屁股跟腿有些累!【空间】本人175CM，空间嘛，主驾驶感觉稍微有点窄，是因为中控变速箱那里重新设计了，比老款的窄了一些，后排空间还是很不错的，大概有一拳半到两拳，后备箱比以前大了很多，因为电池改为三元里电池后，放到底盘了，总体还是不错的。【动力】秦100的动力就不用多说了吧，百公里加速5.9秒，油电混合模式加运动模式，我只想说有起飞的感觉，真的!【操控】操控感觉其实一般，不管是舒适模式还是运动模式，方向盘感觉不够精准，跟我之前评论过得英朗XT1.6T钢炮，操控还有点差距!【油...
秦                        2017款 1.5T 秦100,安康 ?,2017年7月,17.39?万元,4.0?升/百公里370?公里,5,5,5,5,4,5,5,4,上下班,购物,接送小孩,越野,【最满意的一点】大屏不错，科技感，内饰设计也很不错，转向动力，比较准，空间够大。【最不满意的一点】目前都挺好的，非说一点的话就是如果这个价位的车也有后视镜加热就实用多了。【空间】空间比较大，后排感觉很不错，一家人出去空间比较足够，挺好的，后备箱空间也不算小，驾驶位空间很充裕，我身高178坐着空间是够大的。【动力】动力还是不错的动力挺不错的，超个车，不费劲，稳稳的，反正能满足我对动力的要求，加速表现目前感觉还不错，不过没有尝试过太猛的，感觉加速因该不错，坐等磨合期过了吧！【操控】操控还能说得过去，方向盘还可以有点轻，不费劲，整体还好吧，底盘给我感觉也很整，不会很松散，特别是过减速带试验过，还不错。。。【能耗】目前跑了370公里，还不错，还想多跑跑看看...
秦                        2017款 1.5T 秦100,杭州 ?,杭州保捷汽车,2017年4月,20.39?万元,5,5,5,4,5,4,5,5,上下班,,,,
秦                        2017款 1.5T 秦100,苏州 ?吴中,苏州才富比亚迪,2017年5月,21.00?万元,4,5,5,5,5,4,4,5,上下班,自驾游,,,
秦                        2017款 1.5T 秦100,上海 ?,上海君和汽车4s店,2017年5月,20.99?万元,4,5,5,5,5,5,5,5,上下班,购物,自驾游,,
秦                        2017款 1.5T 秦100,北京 ?,北京军鹏,2017年5月,20.99?万元,4,5,5,5,5,5,5,5,上下班,,,,
秦                        2017款 1.5T 秦100,北京 ?,北京环耀汽车,2017年5月,20.99?万元,5,5,5,5,4,5,5,5,上下班,购物,,,
秦                        2017款 1.5T 秦100,秦皇岛 ?,秦皇岛机电比亚迪,2017年4月,20.25?万元,4,5,5,5,4,5,5,5,上下班,购物,,,
秦                        2017款 1.5T 秦100,青岛 ?,蓝天远景比亚迪,2017年4月,20.25?万元,4,5,5,5,5,5,5,5,上下班,购物,接送小孩,自驾游,
秦                        2017款 1.5T 秦100,广州 ?,广东欧亚特,2017年4月,17.58?万元,5,5,5,5,5,5,4,5,上下班,购物,自驾游,,
秦                        2017款 1.5T 秦100,杭州 ?,杭州保捷汽车,2017年3月,19.00?万元,5,5,5,5,5,5,5,5,上下班,,,,【最满意的一点】操作很满意，瞬间的加速超车感觉很满意，车子的内饰大气，新手还以为很不好操作，结果还是自己开回家了，虽然心里是忐忑的。【最不满意的一点】没什么购车大礼包【空间】中等，空间充足，比秦多了后备箱的空间，总体还是够用的【动力】加速很不错，在城市跑够用了不知道高速怎么样，期待吧【操控】第一辆车感觉不错，原以为很难，毕...
秦                        2017款 1.5T 秦100,杭州 ?,杭州卓御比亚迪下城店,2017年3月,20.90?万元,5,5,5,5,5,5,5,4,上下班,,,,
秦                        2017款 1.5T 秦100,杭州 ?,杭州保捷汽车,2017年3月,19.39?万元,5,5,5,5,5,5,5,5,上下班,自驾游,,,【最满意的一点】纯电行驶非常安静，短距离不用油，节省能源。【最不满意的一点】车的价格有点让人心疼【空间】空间日常行驶够用了，未觉得太大，也未觉得太小，和普通小车差不多。储物空间：储物的小格子蛮多的，比较方便，手机和水杯都有着落了。门边的小空间也很给力。放行李：后备箱还未放过大件行李，但一个充电桩包装箱放在里面，未觉得很拥挤，一个普通的行李箱应该也可以放了，只是刚提好车，还没有全家出游过，对于放大量行李还没有直接感受。横向对比：跟普通国产车比，价格要高，跟差不多配置的进口车比，性价比还是不错的。【动力】比汽油车感觉要好，而且很安静。比较平顺。刚提的车，还没跑过高速，准备过几天去试一下。【操控】比较好开、稳定，还没跑过泥泞路面。【能耗】还在...
秦                        2018款 秦EV450 智联尊尚型,泉州 ?,福建粤迪比亚迪4S店,2018年9月,16.39?万元                                补贴后,5,5,5,5,5,4,5,5,上下班,购物,接送小孩,商务接送,【最满意的一点】在这茫茫多的车子里面跟秦结缘，最让我满意的还是这款车比较不错的续航和比较合适的价格，还有比较丰富的车子配置和很不错的乘坐体验。【最不满意的一点】油门的踏板一开始需要踩稍微用点力，像正常燃油车那样轻轻点的话，是不会动的。需要一个渐渐的制动过程，我猜是因为电动速度太快，怕不知道的新手踩着一下子窜出去，但对我这种老司机来说，就不是很喜欢这样的设置调教。【空间】也不一定说是新能源的车，空间就比燃油的大还是小怎么样的，就感觉正正常常的，跟传统汽车都是一样的。前排开车的时候，腿部空间很宽裕，可以有一个很放松的姿势，不会曲着弯着，头顶上的空间表现也是不错的，能有五六指的距离。【动力】动力方面可以说非常的充沛，有一种用不完的力气那种感觉。这一点我相信传统燃油车是很...
秦                        2018款 秦EV450 智联尊尚型,汕头 ?,乾元新景比亚迪,2018年11月,16.59?万元                                补贴后,4,5,5,5,5,5,5,4,上下班,购物,接送小孩,商务接送,【最满意的一点】外形的设计很好看，尾灯的设计也很有自己的味道，日行灯也是，大灯很犀利【最不满意的一点】车门比较不好关，需要用一点力气拉进来。第一次坐我车的人偶尔出现关不好车门的尴尬情况【空间】空间：车内空间表现挺让人满意的，一般家里五口人坐进去，绰绰有余，每个人都能保证自己一个比较小舒服的位置空间。后备箱能再大一点就好了，有时候出去买东西多了，大件的装不下只能放后排了。【动力】动力：动力性的表现确实很好，特别是过了60公里的速度以后，要再加速的时候，动力储备非常的足，并且没有一丝的顿挫，动力衔接的非常平顺。可以满足我的各种加速的准备，想要开得猛烈，开得温柔都可以。【操控】操控：老婆开了都直夸好开，可能一开始从烧油的切换开过来的会有不适应这种电动...
秦                        2018款 秦EV450 智联尊尚型,北京 ?,北京盛世路骐比亚迪,2018年8月,16.88?万元                                补贴后,5,5,4,5,5,4,5,5,上下班,,,,【最满意的一点】最满意的第一点就是秦的外观，很时尚，符合年轻人的审美，还车身线条流畅干练，独特的车灯，造型非常别致的轮圈，整体给人视觉感很好，个人对外形很满意。【最不满意的一点】最不满意就是防震性能不是很好，过减速带等地段颠簸感有点大，其他地方都还不错。【空间】空间对我来讲还是挺重要的，这款车的空间个人觉得还是挺满意的，设计的中规中矩，座椅间距感觉跟平常的轿车也没有什么区别，还是挺宽敞的，后备箱装2-3个行李箱，对上班族来讲，足够用。【动力】动力性能个人还是挺满意的，起步不会肉，加速也很快，不会有顿挫，爬坡的时候可能有点吃力，但不影响整体，还是不错的，够用。【操控】操控性挺好，方向盘轻盈灵活，刹车也很灵敏，操作起来也很顺手，很容易，比较满意。 不过过减速带...
